Rank, Name, Company, Worth
1, Jeff Bezos, None, 112000.0
2, Bill Gates, None, 90000.0
3, Warren Buffett, None, 84000.0
4, Bernard Arnault, None, 72000.0
5, Mark Zuckerberg, None, 71000.0
6, Amancio Ortega, None, 70000.0
7, Carlos Slim Helu, None, 67100.0
8, Charles Koch, None, 60000.0
8, David Koch, None, 60000.0
10, Larry Ellison, None, 58500.0
11, Michael Bloomberg, None, 50000.0
12, Larry Page, None, 48800.0
13, Sergey Brin, None, 47500.0
14, Jim Walton, None, 46400.0
15, S. Robson Walton, None, 46200.0
16, Alice Walton, None, 46000.0
17, Ma Huateng, None, 45300.0
18, Francoise Bettencourt Meyers, None, 42200.0
19, Mukesh Ambani, None, 40100.0
20, Jack Ma, None, 39000.0
21, Sheldon Adelson, None, 38500.0
22, Steve Ballmer, None, 38400.0
23, Li Ka-shing, None, 34900.0
24, Hui Ka Yan, None, 30300.0
24, Lee Shau Kee, None, 30300.0
26, Wang Jianlin, None, 30000.0
27, Beate Heister & Karl Albrecht Jr., None, 29800.0
28, Phil Knight, None, 29600.0
29, Jorge Paulo Lemann, None, 27400.0
30, Francois Pinault, None, 27000.0
31, Georg Schaeffler, None, 25300.0
32, Susanne Klatten, None, 25000.0
32, David Thomson, None, 25000.0
34, Jacqueline Mars, None, 23600.0
34, John Mars, None, 23600.0
36, Joseph Safra, None, 23500.0
37, Giovanni Ferrero, None, 23000.0
37, Dietrich Mateschitz, None, 23000.0
39, Michael Dell, None, 22700.0
39, Masayoshi Son, None, 22700.0
41, Serge Dassault, None, 22600.0
42, Stefan Quandt, None, 22000.0
43, Yang Huiyan, None, 21900.0
44, Paul Allen, None, 21700.0
45, Leonardo Del Vecchio, None, 21200.0
46, Dieter Schwarz, None, 20900.0
47, Thomas Peterffy, None, 20300.0
48, Theo Albrecht, Jr., None, 20200.0
48, Len Blavatnik, None, 20200.0
50, He Xiangjian, None, 20100.0
50, Lui Che Woo, None, 20100.0
52, James Simons, None, 20000.0
52, Henry Sy, None, 20000.0
54, Elon Musk, None, 19900.0
55, Hinduja family, None, 19500.0
