Rank, Name, Worth, Source
1, Jeff Bezos, 112000.0, Amazon
2, Bill Gates, 90000.0, Microsoft
3, Warren Buffett, 84000.0, Berkshire Hathaway
4, Bernard Arnault, 72000.0, LVMH
5, Mark Zuckerberg, 71000.0, Facebook
6, Amancio Ortega, 70000.0, Zara
7, Carlos Slim Helu, 67100.0, telecom
8, Charles Koch, 60000.0, Koch Industries
8, David Koch, 60000.0, Koch Industries
10, Larry Ellison, 58500.0, software
11, Michael Bloomberg, 50000.0, Bloomberg LP
12, Larry Page, 48800.0, Google
13, Sergey Brin, 47500.0, Google
14, Jim Walton, 46400.0, Walmart
15, S. Robson Walton, 46200.0, Walmart
16, Alice Walton, 46000.0, Walmart
17, Ma Huateng, 45300.0, internet media
18, Francoise Bettencourt Meyers, 42200.0, L'Oreal
19, Mukesh Ambani, 40100.0, petrochemicals, oil & gas
20, Jack Ma, 39000.0, e-commerce
21, Sheldon Adelson, 38500.0, casinos
22, Steve Ballmer, 38400.0, Microsoft
23, Li Ka-shing, 34900.0, diversified
24, Hui Ka Yan, 30300.0, real estate
24, Lee Shau Kee, 30300.0, real estate
26, Wang Jianlin, 30000.0, real estate
27, Beate Heister & Karl Albrecht Jr., 29800.0, supermarkets
28, Phil Knight, 29600.0, Nike
29, Jorge Paulo Lemann, 27400.0, beer
30, Francois Pinault, 27000.0, luxury goods
31, Georg Schaeffler, 25300.0, auto parts
32, Susanne Klatten, 25000.0, BMW, pharmaceuticals
32, David Thomson, 25000.0, media
34, Jacqueline Mars, 23600.0, candy, pet food
34, John Mars, 23600.0, candy, pet food
36, Joseph Safra, 23500.0, banking
37, Giovanni Ferrero, 23000.0, Nutella, chocolates
37, Dietrich Mateschitz, 23000.0, Red Bull
39, Michael Dell, 22700.0, Dell computers
39, Masayoshi Son, 22700.0, internet, telecom
41, Serge Dassault, 22600.0, diversified
42, Stefan Quandt, 22000.0, BMW
43, Yang Huiyan, 21900.0, real estate
44, Paul Allen, 21700.0, Microsoft, investments
45, Leonardo Del Vecchio, 21200.0, eyeglasses
46, Dieter Schwarz, 20900.0, retail
47, Thomas Peterffy, 20300.0, discount brokerage
48, Theo Albrecht, Jr., 20200.0, Aldi, Trader Joe's
48, Len Blavatnik, 20200.0, diversified
50, He Xiangjian, 20100.0, home appliances
50, Lui Che Woo, 20100.0, casinos
52, James Simons, 20000.0, hedge funds
52, Henry Sy, 20000.0, diversified
54, Elon Musk, 19900.0, Tesla Motors
55, Hinduja family, 19500.0, diversified
55, Tadashi Yanai, 19500.0, fashion retail
57, Vladimir Lisin, 19100.0, steel, transport
58, Laurene Powell Jobs, 18800.0, Apple, Disney
58, Azim Premji, 18800.0, software services
60, Alexey Mordashov, 18700.0, steel, investments
61, Lee Kun-Hee, 18600.0, Samsung
62, Lakshmi Mittal, 18500.0, steel
63, Wang Wei, 18200.0, package delivery
64, Leonid Mikhelson, 18000.0, gas, chemicals
